source,scraped_at,url,sku,title,business_id,address_id,bbb_id,bbb_office,rating_grade,rating_score,is_accredited,category,category_id,categories,address,city,state,postal_code,country,latitude,longitude,service_areas,has_service_area,phone,logo_url,local_profile_url,leave_review_url,request_quote_url,is_charity,charity_seal,accredited_charity,out_of_business,website,description,fax,accredited_since,bbb_file_opened,business_started,years_in_business,entity_type,reviews_total,review_stars_avg,complaints_total,complaints_3y,complaints_12m,rating_reasons,is_multi_location,page,position,mode,sort,data_source
bbb.org,2026-09-16T12:10:03.339781+00:00,https://www.bbb.org/us/ny/new-york-/profile/restaurants/1849-bar-and-grill-0121-100402,0121_100402_93156,'1849' Bar and Grill,100402,93156,0121,BBB Serving Metropolitan New York,,,False,Restaurants,50544-000,Restaurants,183 Bleecker Street,New York,NY,10012-1406,USA,40.7290153503418,-74.0008773803711,,False,(212) 505-3200,,,https://www.bbb.org/us/ny/new-york-/profile/restaurants/1849-bar-and-grill-0121-100402/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,1,search,a-z,api
bbb.org,2026-09-16T12:10:03.339804+00:00,https://www.bbb.org/us/ny/hampton-bays/profile/restaurants/1-north-steakhouse-0121-184362,0121_184362_223774,1 North Steakhouse,184362,223774,0121,BBB Serving Metropolitan New York,A+,100.0,False,Restaurants,50544-000,Restaurants,322 West Montauk Highway,Hampton Bays,NY,11946-3525,USA,40.87,-72.52,,False,(631) 594-3419,,,https://www.bbb.org/us/ny/hampton-bays/profile/restaurants/1-north-steakhouse-0121-184362/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,2,search,a-z,api
bbb.org,2026-09-16T12:10:03.339825+00:00,https://www.bbb.org/us/ny/brooklyn/profile/cleaning-services/1-payless-cleaning-0121-137498,0121_137498_149523,1 Payless Cleaning,137498,149523,0121,BBB Serving Metropolitan New York,A+,100.0,False,Cleaning Services,66002-000,Cleaning Services,1565 Hendrickson St,Brooklyn,NY,11234-3513,USA,40.61943817138672,-73.93472290039062,,False,(877) 763-6999,,,https://www.bbb.org/us/ny/brooklyn/profile/cleaning-services/1-payless-cleaning-0121-137498/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,3,search,a-z,api
bbb.org,2026-09-16T12:10:03.339846+00:00,https://www.bbb.org/us/md/aberdeen/profile/cleaning-services/1-professional-cleaning-services-0011-90315529,0011_90315529_79181,1 Professional Cleaning Services,90315529,79181,0011,BBB of Greater Maryland,,,False,Cleaning Services,66002-000,Cleaning Services | Maid Service | Upholstery Cleaning,59 Liberty St,Aberdeen,MD,21001,USA,39.5030481,-76.202092,,False,(410) 630-2099,,,https://www.bbb.org/us/md/aberdeen/profile/cleaning-services/1-professional-cleaning-services-0011-90315529/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,4,search,a-z,api
bbb.org,2026-09-16T12:10:03.339866+00:00,https://www.bbb.org/us/nj/hoboken/profile/restaurants/1-republik-0221-90156438,0221_90156438_90659,1 Republik,90156438,90659,0221,BBB Serving New Jersey,,,False,Restaurants,50544-000,Restaurants,221 Washington St,Hoboken,NJ,07030-4716,USA,40.73940658569336,-74.0302963256836,,False,(201) 850-1282,,,https://www.bbb.org/us/nj/hoboken/profile/restaurants/1-republik-0221-90156438/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,5,search,a-z,api
bbb.org,2026-09-16T12:10:03.339888+00:00,https://www.bbb.org/us/ct/stamford/profile/fire-water-damage-restoration/1-800-water-damage-0111-87055124,0111_87055124_46262,1-800 Water Damage,87055124,46262,0111,"BBB, Connecticut",,,False,Fire and Water Damage Restoration,60367-000,Fire and Water Damage Restoration | Cleaning Services | Carpet and Rug Cleaners | Water Damage Restoration,2435 Bedford St Unit 15C,Stamford,CT,06905-3990,USA,41.07012939453125,-73.54624938964844,,False,(203) 406-9962 | (914) 372-1319 | (800) 928-3732,,,https://www.bbb.org/us/ct/stamford/profile/fire-water-damage-restoration/1-800-water-damage-0111-87055124/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,6,search,a-z,api
bbb.org,2026-09-16T12:10:03.339944+00:00,https://www.bbb.org/us/ri/pawtucket/profile/restaurants/10-rocks-lounge-tapas-llc-0021-191924,0021_191924_354991,10 Rocks Tapas Bar & Restaurant,191924,354991,0021,"Better Business Bureau in Eastern MA, ME, RI & VT",A+,100.0,False,Restaurants,50544-000,Restaurants,1091 Main St,Pawtucket,RI,02860,USA,41.860408782958984,-71.39939880371094,01504 | 01529 | 01569 | 01747 | 01756 | 02019 | 02031 | 02035 | 02038 | 02048 | 02053 | 02056 | 02067 | 02070 | 02071 | 02093 | 02334 | 02356 | 02375 | 02702 | 02703 | 02712 | 02715 | 02718 | 02720 | 02721 | 02722 | 02723 | 02724 | 02725 | 02726 | 02760 | 02761 | 02762 | 02763 | 02764 | 02766 | 02767 | 02768 | 02769 | 02771 | 02777 | 02779 | 02780 | 02802 | 02806 | 02809 | 02814 | 02815 | 02816 | 02818 | 02823 | 02824 | 02825 | 02826 | 02828 | 02829 | 02830 | 02831 | 02838 | 02839 | 02857 | 02858 | 02859 | 02860 | 02861 | 02862 | 02863 | 02864 | 02865 | 02872 | 02876 | 02885 | 02886 | 02887 | 02888 | 02889 | 02893 | 02895 | 02896 | 02901 | 02902 | 02903 | 02904 | 02905 | 02906 | 02907 | 02908 | 02909 | 02910 | 02911 | 02912 | 02914 | 02915 | 02916 | 02917 | 02918 | 02919 | 02920 | 02921 | 02940 | MA | RI | USA,True,(401) 728-0800,,,https://www.bbb.org/us/ri/pawtucket/profile/restaurants/10-rocks-lounge-tapas-llc-0021-191924/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,7,search,a-z,api
bbb.org,2026-09-16T12:10:03.339965+00:00,https://www.bbb.org/us/ct/glastonbury/profile/restaurants/1000-degrees-pizza-salad-wings-of-glastonbury-0111-87133572,0111_87133572_105760,"1000 Degrees Pizza, Salad, Wings of Glastonbury",87133572,105760,0111,"BBB, Connecticut",A+,100.0,False,Restaurants,50544-000,Restaurants,2941 Main St,Glastonbury,CT,06033-1028,USA,41.723594665527344,-72.61539459228516,,False,(860) 500-1000,,,https://www.bbb.org/us/ct/glastonbury/profile/restaurants/1000-degrees-pizza-salad-wings-of-glastonbury-0111-87133572/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,8,search,a-z,api
bbb.org,2026-09-16T12:10:03.339985+00:00,https://www.bbb.org/us/ny/ozone-park/profile/restaurants/101-cafe--0121-87154749,0121_87154749_257905,101 Cafe,87154749,257905,0121,BBB Serving Metropolitan New York,A+,100.0,False,Restaurants,50544-000,Restaurants,9805 101st Ave,Ozone Park,NY,11416,USA,40.6846138,-73.8495086,,False,(718) 848-8131,,,https://www.bbb.org/us/ny/ozone-park/profile/restaurants/101-cafe--0121-87154749/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,9,search,a-z,api
bbb.org,2026-09-16T12:10:03.340006+00:00,https://www.bbb.org/us/ny/brooklyn-/profile/restaurants/101-restaurant-and-lounge-0121-108643,0121_108643_114867,101 Restaurant and Lounge,108643,114867,0121,BBB Serving Metropolitan New York,,,False,Restaurants,50544-000,Restaurants,10018 4th Avenue,Brooklyn,NY,11209,USA,40.61239242553711,-74.0340347290039,,False,,,,https://www.bbb.org/us/ny/brooklyn-/profile/restaurants/101-restaurant-and-lounge-0121-108643/leave-a-review,,False,False,False,,,,,,,,,,,,,,,,,1,10,search,a-z,api
